sPoint1                                                  | sPoint2                                              | idx1 | idx2 | ∇% | ∇%P1 | ∇%P2 |    ∇ | match | ∇P1  | ∇P2
AlKhettar Catering                                       | Al Prince Al Amoor Restaurant -                      |   29 |   33 |  6 |    3 |    4 |  348 |  5059 | 137  | 211
Al Marhabani Restaurant                                  | Laffah Restaurant Dubai Branch                       |   15 |   40 |  6 |    4 |    3 |  351 |  5059 | 209  | 142
Al Fakher Mandi                                          | Zayed Al Amoor Seafood Restaurant                    |   25 |   57 |  6 |    6 |    1 |  352 |  5168 | 310  | 42
Bangkok Town Restaurant                                  | Al Reef Al Yamani Restaurant & Bakers                |   11 |   23 |  6 |    6 |    0 |  354 |  5168 | 338  | 16
Bangkok Town Restaurant                                  | Sahara Star Restaurant                               |   11 |   43 |  6 |    6 |    0 |  354 |  5168 | 338  | 16
Robyan Seafood Restaurant                                | Al Amoor Restaurant                                  |   42 |   49 |  6 |    3 |    3 |  368 |  5979 | 164  | 204
Robyan Seafood Restaurant                                | Samakati                                             |   42 |   51 |  6 |    5 |    1 |  388 |  5831 | 312  | 76
Al Nahda Restaurant                                      | Najmat Pakistan Restaurant                           |   19 |   47 |  6 |    4 |    2 |  584 |  9004 | 370  | 214
jordanian kitchen restaurant and just kunfa sweets       | Russian Traditions Restaurant                        |    3 |   17 |  6 |    2 |    4 |  614 | 10065 | 164  | 450
jordanian kitchen restaurant and just kunfa sweets       | Arabian Taste Resurant                               |    3 |    9 |  6 |    6 |    0 |  658 |  9612 | 617  | 41
Al Marhabani Restaurant                                  | Zayed Al Amoor Seafood Restaurant                    |   15 |   57 |  7 |    4 |    3 |  360 |  5059 | 209  | 151
Bangkok Town Restaurant                                  | Zaid Alammor                                         |   11 |   16 |  7 |    6 |    1 |  366 |  5168 | 338  | 28
Bangkok Town Restaurant                                  | Laffah Restaurant Dubai Branch                       |   11 |   40 |  7 |    6 |    1 |  371 |  5168 | 338  | 33
Bangkok Town Restaurant                                  | Zayed Al Amoor Seafood Restaurant                    |   11 |   57 |  7 |    6 |    1 |  380 |  5168 | 338  | 42
Star One restaurant                                      | AlKhettar Catering                                   |    5 |   29 |  7 |    5 |    3 |  399 |  5059 | 262  | 137
Al Fakher Mandi                                          | Al Prince Al Amoor Restaurant -                      |   25 |   33 |  7 |    6 |    2 |  412 |  5168 | 310  | 102
Robyan Seafood Restaurant                                | Al Aumdah Restaurant                                 |   42 |   55 |  7 |    5 |    2 |  422 |  5831 | 312  | 110
Al Amoor Restaurant                                      | Samakati                                             |   49 |   51 |  7 |    6 |    1 |  428 |  5831 | 352  | 76
Al Amoor Restaurant                                      | Al Aumdah Restaurant                                 |   49 |   55 |  7 |    6 |    2 |  462 |  5831 | 352  | 110
Damietta Restaurant                                      | Green Leaf International Restaurant                  |   54 |   59 |  7 |    1 |    7 |  694 |  8814 | 79   | 615
Al Marhabani Restaurant                                  | Al Prince Al Amoor Restaurant -                      |   15 |   33 |  8 |    4 |    4 |  420 |  5059 | 209  | 211
Star One restaurant                                      | Al Nadeg Restaurant                                  |    5 |   22 |  8 |    3 |    5 |  448 |  5168 | 153  | 295
Star One restaurant                                      | Al Fakher Mandi                                      |    5 |   25 |  8 |    3 |    6 |  463 |  5168 | 153  | 310
Khaimat Al Mandi Restaurant                              | Pars Iranian Restaurant                              |   21 |   56 |  8 |    5 |    4 |  645 |  6979 | 383  | 262
Arabian Taste Resurant                                   | Hi-Way Fast Food Restaurant                          |    9 |   12 |  8 |    4 |    4 |  819 |  9245 | 408  | 411
Arabian Taste Resurant                                   | Taza                                                 |    9 |   18 |  8 |    0 |    8 |  879 |  9612 | 41   | 838
Star One restaurant                                      | Al Marhabani Restaurant                              |    5 |   15 |  9 |    5 |    4 |  471 |  5059 | 262  | 209
Star One restaurant                                      | Bangkok Town Restaurant                              |    5 |   11 |  9 |    3 |    6 |  491 |  5168 | 153  | 338
Al Ghaar Restaurant-North Karnataka                      | Najmat Pakistan Restaurant                           |   28 |   47 |  9 |    5 |    4 |  835 |  8853 | 470  | 365
Najmat Pakistan Restaurant                               | Delhi Nihari Restaurant - Al Nahda                   |   47 |   50 |  9 |    4 |    5 |  870 |  8853 | 365  | 505
Abad Plaza Restaurant & Cafeteria                        | Green Leaf International Restaurant                  |   14 |   59 |  9 |    3 |    7 |  915 |  8814 | 300  | 615
Arabian Taste Resurant                                   | Russian Traditions Restaurant                        |    9 |   17 |  9 |    0 |    9 |  944 |  9612 | 41   | 903
Chicken Tikka                                            | Najmat Pakistan Restaurant                           |   34 |   47 |  9 |    9 |    0 |  949 |  9174 | 905  | 44
Al Nadeg Restaurant                                      | AlKhettar Catering                                   |   22 |   29 | 10 |    7 |    3 |  541 |  5059 | 404  | 137
Al Fakher Mandi                                          | AlKhettar Catering                                   |   25 |   29 | 10 |    8 |    3 |  556 |  5059 | 419  | 137
Bangkok Town Restaurant                                  | AlKhettar Catering                                   |   11 |   29 | 10 |    8 |    3 |  584 |  5059 | 447  | 137
Al Nadeg Restaurant                                      | Al Fakher Mandi                                      |   22 |   25 | 10 |    5 |    6 |  605 |  5168 | 295  | 310
Al Ghaar Restaurant-North Karnataka                      | Delhi Nihari Restaurant - Al Nahda                   |   28 |   50 | 10 |    5 |    5 |  975 |  8853 | 470  | 505
Al Nahda Restaurant                                      | Al Ghaar Restaurant-North Karnataka                  |   19 |   28 | 10 |    6 |    5 |  991 |  8853 | 521  | 470
Arabian Taste Resurant                                   | Al Nahda Restaurant                                  |    9 |   19 | 10 |    7 |    4 | 1019 |  9004 | 649  | 370
Hi-Way Fast Food Restaurant                              | Al Nahda Restaurant                                  |   12 |   19 | 10 |    7 |    4 | 1022 |  9004 | 652  | 370
Al Nahda Restaurant                                      | Delhi Nihari Restaurant - Al Nahda                   |   19 |   50 | 10 |    6 |    5 | 1026 |  8853 | 521  | 505
jordanian kitchen restaurant and just kunfa sweets       | Chicken Tikka                                        |    3 |   34 | 10 |    6 |    5 | 1084 |  9612 | 617  | 467
Al Marhabani Restaurant                                  | Al Nadeg Restaurant                                  |   15 |   22 | 11 |    4 |    7 |  613 |  5059 | 209  | 404
Al Marhabani Restaurant                                  | Al Fakher Mandi                                      |   15 |   25 | 11 |    4 |    8 |  628 |  5059 | 209  | 419
Bangkok Town Restaurant                                  | Al Fakher Mandi                                      |   11 |   25 | 11 |    6 |    6 |  648 |  5168 | 338  | 310
Bangkok Town Restaurant                                  | Al Marhabani Restaurant                              |   11 |   15 | 11 |    8 |    4 |  656 |  5059 | 447  | 209
Food Village Restaurant                                  | Damietta Restaurant                                  |   26 |   54 | 11 |    4 |    8 | 1047 |  8206 | 360  | 687
Raidan Mandi Restaurant                                  | Sigdi Restaurant - Al Nahda Dubai                    |    1 |   46 | 11 |    3 |    9 | 1056 |  8179 | 235  | 821
jordanian kitchen restaurant and just kunfa sweets       | Najmat Pakistan Restaurant                           |    3 |   47 | 11 |   10 |    0 | 1099 |  9174 | 1055 | 44
Jordanian kitchen restaurant and sweets sharjah          | Najmat Pakistan Restaurant                           |   41 |   47 | 11 |    8 |    4 | 1127 |  8853 | 762  | 365
iCook Asian Restaurant & Catering                        | Al Qantarah Restaurant                               |   13 |   48 | 11 |    5 |    7 | 1298 | 10562 | 560  | 738
Garlic Routes Restaurant LLC                             | Raidan Mandi Restaurant                              |    0 |    1 | 12 |   10 |    3 | 1160 |  8179 | 925  | 235
Al Ghaar Restaurant-North Karnataka                      | Jordanian kitchen restaurant and sweets sharjah      |   28 |   41 | 12 |    5 |    8 | 1232 |  8853 | 470  | 762
Hi-Way Fast Food Restaurant                              | Chicken Tikka                                        |   12 |   34 | 12 |    4 |    8 | 1245 |  9245 | 411  | 834
Taza                                                     | Chicken Tikka                                        |   18 |   34 | 12 |    8 |    5 | 1305 |  9612 | 838  | 467
Russian Traditions Restaurant                            | Chicken Tikka                                        |   17 |   34 | 12 |    9 |    5 | 1370 |  9612 | 903  | 467
Abad Plaza Restaurant & Cafeteria                        | Food Village Restaurant                              |   14 |   26 | 13 |   10 |    4 | 1268 |  8206 | 908  | 360
Arabian Taste Resurant                                   | Al Ghaar Restaurant-North Karnataka                  |    9 |   28 | 13 |    8 |    5 | 1270 |  8853 | 800  | 470
Hi-Way Fast Food Restaurant                              | Al Ghaar Restaurant-North Karnataka                  |   12 |   28 | 13 |    8 |    5 | 1273 |  8853 | 803  | 470
Al Nahda Restaurant                                      | Jordanian kitchen restaurant and sweets sharjah      |   19 |   41 | 13 |    6 |    8 | 1283 |  8853 | 521  | 762
Arabian Taste Resurant                                   | Delhi Nihari Restaurant - Al Nahda                   |    9 |   50 | 13 |    8 |    5 | 1305 |  8853 | 800  | 505
Hi-Way Fast Food Restaurant                              | Delhi Nihari Restaurant - Al Nahda                   |   12 |   50 | 13 |    8 |    5 | 1308 |  8853 | 803  | 505
Taza                                                     | Najmat Pakistan Restaurant                           |   18 |   47 | 13 |   12 |    0 | 1320 |  9174 | 1276 | 44
Russian Traditions Restaurant                            | Najmat Pakistan Restaurant                           |   17 |   47 | 13 |   13 |    0 | 1385 |  9174 | 1341 | 44
jordanian kitchen restaurant and just kunfa sweets       | Hi-Way Fast Food Restaurant                          |    3 |   12 | 13 |   10 |    4 | 1395 |  9245 | 984  | 411
Al Nahda Restaurant                                      | Chicken Tikka                                        |   19 |   34 | 14 |    4 |   11 | 1445 |  9004 | 370  | 1075
Arabian Taste Resurant                                   | Jordanian kitchen restaurant and sweets sharjah      |    9 |   41 | 15 |    8 |    8 | 1562 |  8853 | 800  | 762
Hi-Way Fast Food Restaurant                              | Jordanian kitchen restaurant and sweets sharjah      |   12 |   41 | 15 |    8 |    8 | 1565 |  8853 | 803  | 762
jordanian kitchen restaurant and just kunfa sweets       | Al Nahda Restaurant                                  |    3 |   19 | 15 |   12 |    4 | 1595 |  9004 | 1225 | 370
Hi-Way Fast Food Restaurant                              | Taza                                                 |   12 |   18 | 15 |    4 |   12 | 1616 |  9245 | 411  | 1205
