sPoint1                                                  | sPoint2                                              | idx1 | idx2 | ∇% | ∇%P1 | ∇%P2 |    ∇ | match | ∇P1  | ∇P2
Zaafaran Restaurant                                      | Kukko Restaurant                                     |   30 |   38 | 27 |   11 |   20 | 3034 |  8248 | 1002 | 2032
Al Ghaar Restaurant-North Karnataka                      | Kukko Restaurant                                     |   28 |   38 | 27 |   12 |   20 | 3107 |  8248 | 1075 | 2032
Star One restaurant                                      | Al Amoor Restaurant                                  |    5 |   49 | 28 |    9 |   22 | 1852 |  4826 | 495  | 1357
Alvand Restaurant                                        | Robyan Seafood Restaurant                            |   20 |   42 | 28 |   20 |   11 | 2068 |  5444 | 1369 | 699
Alvand Restaurant                                        | Al Amoor Restaurant                                  |   20 |   49 | 28 |   20 |   12 | 2108 |  5444 | 1369 | 739
Noor Al Mandi Restaurant                                 | Food Village Restaurant                              |   24 |   26 | 28 |   21 |   10 | 2911 |  7673 | 2018 | 893
Parkview Restaurant                                      | Damietta Restaurant                                  |   53 |   54 | 28 |   18 |   14 | 2946 |  7673 | 1726 | 1220
Abad Plaza Restaurant & Cafeteria                        | Nahda Gardens Restaurant                             |   14 |   52 | 28 |   16 |   17 | 3056 |  7673 | 1441 | 1615
Kukko Restaurant                                         | Delhi Nihari Restaurant - Al Nahda                   |   38 |   50 | 28 |   20 |   12 | 3142 |  8248 | 2032 | 1110
Al Nahda Restaurant                                      | Kukko Restaurant                                     |   19 |   38 | 28 |   12 |   20 | 3158 |  8248 | 1126 | 2032
Taza                                                     | Zaafaran Restaurant                                  |   18 |   30 | 28 |   21 |   11 | 3204 |  8248 | 2202 | 1002
Russian Traditions Restaurant                            | Zaafaran Restaurant                                  |   17 |   30 | 28 |   22 |   11 | 3269 |  8248 | 2267 | 1002
Al Nadeg Restaurant                                      | Robyan Seafood Restaurant                            |   22 |   42 | 29 |   12 |   21 | 1954 |  4826 | 637  | 1317
Al Fakher Mandi                                          | Robyan Seafood Restaurant                            |   25 |   42 | 29 |   12 |   21 | 1969 |  4826 | 652  | 1317
Al Nadeg Restaurant                                      | Al Amoor Restaurant                                  |   22 |   49 | 29 |   12 |   22 | 1994 |  4826 | 637  | 1357
Bangkok Town Restaurant                                  | Robyan Seafood Restaurant                            |   11 |   42 | 29 |   12 |   21 | 1997 |  4826 | 680  | 1317
Al Fakher Mandi                                          | Al Amoor Restaurant                                  |   25 |   49 | 29 |   12 |   22 | 2009 |  4826 | 652  | 1357
Samakati                                                 | Pars Iranian Restaurant                              |   51 |   56 | 29 |    8 |   25 | 2260 |  5444 | 463  | 1797
Abad Plaza Restaurant & Cafeteria                        | Parkview Restaurant                                  |   14 |   53 | 29 |   16 |   18 | 3167 |  7673 | 1441 | 1726
Kukko Restaurant                                         | Jordanian kitchen restaurant and sweets sharjah      |   38 |   41 | 29 |   20 |   14 | 3399 |  8248 | 2032 | 1367
Arabian Taste Resurant                                   | Kukko Restaurant                                     |    9 |   38 | 29 |   15 |   20 | 3437 |  8248 | 1405 | 2032
Hi-Way Fast Food Restaurant                              | Kukko Restaurant                                     |   12 |   38 | 29 |   15 |   20 | 3440 |  8248 | 1408 | 2032
Kukko Restaurant                                         | Tike Taste Of Istanbul Restaurant                    |   38 |   44 | 29 |    5 |   26 | 3923 |  9808 | 472  | 3451
Vapiano                                                  | Kukko Restaurant                                     |   35 |   38 | 29 |   26 |    5 | 3926 |  9808 | 3454 | 472
